"tracker_index","tracker_id","expected_contiguous_id","tracker_name","source_index_by_name","source_name","source_path","name_match","order_match","id_match","tracker_hash","migration_sha1_checkout_bytes","migration_sha1_git_blob_bytes","stored_hash_matches_checkout_bytes","stored_hash_matches_git_blob_bytes","hash_classification","git_blob_oid","size_checkout_bytes","sha256_checkout_bytes","applied_at"
"43","674","674","20260604222044_world","43","20260604222044_world","sql/database_updates/world/20260604222044_world.sql","True","True","True","manual","9E8037C7988C4C11F90CF7F835EF5FAAF4BC9139","1E165FDF08D7306DCD52BEA13D1AAD46115F311E","False","False","manual_marker_not_file_hash","d36240eaa1baf22713fe7bbc0c9ffe7a929ef3c2","47718","97A07798A4CAD926E5827B2385115D5DA94F522F8A1E90F1A9C39C5639D26E5E","2026-08-25 18:55:59"
"44","675","675","20260605181338_world","44","20260605181338_world","sql/database_updates/world/20260605181338_world.sql","True","True","True","manual","AA31C21AA4F326B1C8E46CE4E590DE33B02B1581","AA31C21AA4F326B1C8E46CE4E590DE33B02B1581","False","False","manual_marker_not_file_hash","2d8c65da55e574f6f530b27d224e2c40e3f410cd","432407","38E82E4DF544B7903422D066D739E5E863032C71E2CE33F5956154C79131FABD","2026-08-25 18:55:59"
"45","676","676","20260606120000_world","45","20260606120000_world","sql/database_updates/20260606120000_world.sql","True","True","True","manual","38D2C58804406C10EEE4F0AB767F9D4AFD5CF3C3","27B26DC8449CF2557B0CB3529A3A75D3F86D93B7","False","False","manual_marker_not_file_hash","7bb81dd6236e0d32206ed8689721906f5ee38371","320","723E38F3E382EC084E7F4C970E7E4D80168BADD1BD805D0EA55C2422D414F6AD","2026-08-25 18:55:59"
"46","677","677","20260606142438_world","46","20260606142438_world","sql/database_updates/world/20260606142438_world.sql","True","True","True","manual","EB66F7AA63718C45677C9D8D511CD407FBA53F4C","048D7E6887538E1A2ADC06EE95EB49AAEE489C20","False","False","manual_marker_not_file_hash","b32715266b4c062e107af35a96e369b532ce8c76","2479","C20E48571F4B8758826DA479D88A70BA2987A85B54DB671D1ED310F8F3914953","2026-08-25 18:55:59"
"47","678","678","20260608174707_world","47","20260608174707_world","sql/database_updates/world/20260608174707_world.sql","True","True","True","manual","1B352221C5710B28F075FDFB846FB488F30CAAF7","1B352221C5710B28F075FDFB846FB488F30CAAF7","False","False","manual_marker_not_file_hash","513cf99dc7ae51dffaa1771296dc5bd4ef5c662e","160435","1FDBB3E3E5724AF3340BFAE1CF174BD64394CEA0F39C541B791DEEFE4C6F9B9A","2026-08-25 18:56:00"
"48","679","679","20260610134807_world","48","20260610134807_world","sql/database_updates/world/20260610134807_world.sql","True","True","True","manual","A90485FB507238AF6271C074A0542EBF22C164CB","12ED493A2A43A6D2955750DB5C29023F7669D091","False","False","manual_marker_not_file_hash","45dc813e6669f660a08e143ea8986b8b2d311bb0","63645","92D235AF280046165C412B2545BB6C7AC04A0B498E04F11A50B9210481F7D35F","2026-08-25 18:56:00"
"49","680","680","20260614120836_world","49","20260614120836_world","sql/database_updates/world/20260614120836_world.sql","True","True","True","manual","D9883F780729DAD52599D24E41EE191802D5566E","D3F2E34AA1212F6933D5FE3C7F70A1933BF69A4E","False","False","manual_marker_not_file_hash","9151ebfbd40fb98fb05f030764aff862292ebfe0","425123","72523586DC66E6A077673BB026A666AFC482D496B6AB62DBBD760DCC0C984121","2026-08-25 18:56:00"
"50","681","681","20260614124739_world","50","20260614124739_world","sql/database_updates/world/20260614124739_world.sql","True","True","True","manual","4CC59860A18D5A92623D5260CCA35429BFA48927","7C2BC9D744E2B32CDDC45E5B42F56461643B2134","False","False","manual_marker_not_file_hash","d0f95decc57344721c23b74e8b1184fd38e3bcd0","201507","4C78D64246774F7141432945FC1121A2C9B5AF100BAC0A9B80AB51C4ABCD0F35","2026-08-25 18:56:01"
"51","682","682","20260617120000_world","51","20260617120000_world","sql/database_updates/20260617120000_world.sql","True","True","True","manual","95A8FBC96A33A8936D814BCF94B6FABC00332084","02FE9BFED94FBD8BD2ADB4744A8BB619992D6A8E","False","False","manual_marker_not_file_hash","eba4a462f1fc9ba42152a9a31181f83227250941","1309","6DACE5B514B09CB4025E81FF4A69A32A956E9C47E5CB8D94C2DF3F3CB4FAAA2E","2026-08-25 18:56:01"
"52","683","683","20260618114919_world","52","20260618114919_world","sql/database_updates/world/20260618114919_world.sql","True","True","True","manual","A05DAD51CFA5CFF46DDF9CDFACBB86E193A4B438","9D89C8C21C527CBD20F6D89492BD9B5F3DEE2953","False","False","manual_marker_not_file_hash","afe6e090adf9303323cf3d744997bc7285c787f7","923092","9F3F398FBAF43C42599DF4951AD4309C9F4E40C0AAD1D9B2312FC6665A23F77A","2026-08-25 18:56:01"
"53","684","684","20260618120000_world","53","20260618120000_world","sql/database_updates/20260618120000_world.sql","True","True","True","manual","A2D91BDFD6E3FF0D9F6971F74583E8AA3AB70A65","6C462E5A170F51194D43FEE29A2AAB82218EBF09","False","False","manual_marker_not_file_hash","8891991f24f9e9e30c39c0fd07d289b999948b3f","666","F2D6E463151E4A1EE285250BC3B2E1D2147A2B437815E9D3208EB9A162B03E71","2026-08-25 18:56:01"
"54","685","685","20260619123444_world","54","20260619123444_world","sql/database_updates/world/20260619123444_world.sql","True","True","True","manual","01069898DC1380F0F7F13E664B131DFB6C9EF990","D73E27A494E708ED954CB00A19D2963A41BC5EF5","False","False","manual_marker_not_file_hash","ac4e8d3e52f9a9d70a2f68a84c7148ac2c57f29e","9425","202A4555E34FCCE99684AD65FF700F7CAA9C3911308F30A7B8BAAE71C2B28734","2026-08-25 18:56:01"
"55","686","686","20260619155101_world","55","20260619155101_world","sql/database_updates/world/20260619155101_world.sql","True","True","True","manual","5D973BDF03CCDDF31345A168C08E4AFBC698084F","05AAA607E9AEEC53129D6510BA23C92A59978AEB","False","False","manual_marker_not_file_hash","94ccc734317acb2d35faf8ed8d90601df429cac6","44777","F2EF8D1F6FCC140C9ADFD7583A1CD107C5DA9201C5B6684FA885F13732A8FD42","2026-08-25 18:56:02"
"56","687","687","20260620003740_world","56","20260620003740_world","sql/database_updates/world/20260620003740_world.sql","True","True","True","manual","1C8C6DE6AEF90E3F237549DCA75B13FF98C4E75A","9DB6969432874539148777CA79AEE16D3D8E4847","False","False","manual_marker_not_file_hash","4ffb70547c21728545038f75ee3d7aae68975152","26663","63E4FFE22C01BB6FEDD7735FA69BFC1CD2CBF0DF37A8FB41A29E28FFEF4E38FF","2026-08-25 18:56:02"
"57","688","688","20260620113716_world","57","20260620113716_world","sql/database_updates/world/20260620113716_world.sql","True","True","True","manual","F093B5A7D2CB280550710E70CF2DA90305A6E0BC","0F819B6F94D7472509278373A25BB95673CB5B6D","False","False","manual_marker_not_file_hash","dadc082a1fb249f03d00978ebdfd13bb8f53027d","19055","7A310B8E9C29E2F296276035A09E013CFE05B1F7A92CE80DCF9792B4788942F4","2026-08-25 18:56:02"
"58","689","689","20260620120000_world","58","20260620120000_world","sql/database_updates/20260620120000_world.sql","True","True","True","manual","5D4494CB869A8FFB1EDD0F9A8F2A0EDEF1A3013C","422A8E0C5831E26F3A827B0B4CBA172BBD868488","False","False","manual_marker_not_file_hash","bbe07811ef1a57d25dc44106a75db0a58ee7ebd7","495","BFE4BC0D64369F1FB682270B6980549454BA4814B4D0557078C19DFB5A7E5E6A","2026-08-25 18:56:02"
